Estados ;IDH;IDH-R;IDH- L;IDH- E
DF;0.824;0.863;0.873;0.742
SP;0.783;0.789;0.845;0.719
SC;0.774;0.773;0.86;0.697
RJ;0.761;0.782;0.835;0.675
PR;0.749;0.757;0.83;0.668
RS;0.746;0.769;0.84;0.642
ES;0.74;0.743;0.835;0.653
GO;0.735;0.742;0.827;0.646
MG;0.731;0.73;0.838;0.638
MS;0.729;0.74;0.833;0.629
MT;0.725;0.732;0.821;0.635
AP;0.708;0.694;0.813;0.629
RR;0.707;0.695;0.809;0.628
TO;0.699;0.69;0.793;0.624
RO;0.69;0.712;0.8;0.577
RN;0.684;0.678;0.792;0.597
CE;0.682;0.651;0.793;0.615
AM;0.674;0.677;0.805;0.561
PE;0.673;0.673;0.789;0.574
SE;0.665;0.672;0.781;0.56
AC;0.663;0.671;0.777;0.559
BA;0.66;0.663;0.783;0.555
PB;0.658;0.656;0.783;0.555
PA;0.646;0.646;0.789;0.528
PI;0.646;0.635;0.777;0.547
MA;0.639;0.612;0.757;0.562
AL;0.631;0.641;0.755;0.52
